"Date.start","Days.after.feeding","Bacteria","CFU","Individual","Dead","Offspring","corr.Offspring","hours.pi","bud","cells.suspension"
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3B4",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3B5",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3B6",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3C1",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3C2",0,0,0,0,1,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3C4",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3C5",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3C6",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3D1",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3D2",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3D3",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3D4",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3D5",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+05,"2024-05-27-1e+05-3D6",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+06,"2024-05-27-1e+06-1A1",0,0,0,0,0,0
"2024-05-27",0,"Pmegaterium",1e+06,"2024-05-27-1e+06-1A2",0,0,0,0,1,0
"2024-05-27",0,"Pmegaterium",1e+06,"2024-05-27-1e+06-1A3",0,1,0,0,1,0
"2024-05-27",0,"Pmegaterium",1e+06,"2024-05-27-1e+06-1A5",0,0,0,0,0,0
