"Date.start","Days.after.feeding","Bacteria","CFU","Individual","Dead","Offspring","corr.Offspring","hours.pi","bud","cells.suspension"
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-1D1",0,0,0,0,NA,1
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-1D2",0,0,0,0,NA,1
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-1D3",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-1D4",0,0,0,0,NA,1
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-1D5",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-1D6",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2A1",0,1,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2A2",0,0,0,0,NA,1
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2A3",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2A4",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2A5",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2A6",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2B1",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2B2",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2B3",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2B4",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2B5",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2B6",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2C1",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2C2",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2C3",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2C4",0,0,0,0,NA,1
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2C5",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2C6",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2D1",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2D2",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2D3",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2D4",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2D5",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-2D6",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-3A1",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-3A2",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-3A3",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-3A4",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-3A5",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-3A6",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-3B1",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-3B2",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-3B3",0,0,0,0,NA,0
"2023-01-25",0,"Vcoralliilyticus",1e+06,"2023-01-25-1e+06-3B4",0,0,0,0,NA,0
