Date.start,days.after.feeding,Bacteria,CFU,Well,Individual,Dead,Offspring,hours.exposure,initial.bud,initial.damage,Notes
2025-04-12,2,Vcoralliilyticus,1000000,1C3,45759-1E+06-1C3,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,1C4,45759-1E+06-1C4,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,1C5,45759-1E+06-1C5,0,0,0,0,1,
2025-04-12,2,Vcoralliilyticus,1000000,1C6,45759-1E+06-1C6,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,1D1,45759-1E+06-1D1,0,0,0,1,0,
2025-04-12,2,Vcoralliilyticus,1000000,1D2,45759-1E+06-1D2,0,0,0,1,0,
2025-04-12,2,Vcoralliilyticus,1000000,1D3,45759-1E+06-1D3,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,1D4,45759-1E+06-1D4,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,1D5,45759-1E+06-1D5,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,1D6,45759-1E+06-1D6,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2A1,45759-1E+06-2A1,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2A2,45759-1E+06-2A2,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2A3,45759-1E+06-2A3,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2A4,45759-1E+06-2A4,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2A5,45759-1E+06-2A5,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2A6,45759-1E+06-2A6,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2B1,45759-1E+06-2B1,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2B2,45759-1E+06-2B2,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2B3,45759-1E+06-2B3,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2B4,45759-1E+06-2B4,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2B5,45759-1E+06-2B5,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2B6,45759-1E+06-2B6,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2C1,45759-1E+06-2C1,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2C2,45759-1E+06-2C2,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2C3,45759-1E+06-2C3,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2C4,45759-1E+06-2C4,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2C5,45759-1E+06-2C5,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2C6,45759-1E+06-2C6,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2D1,45759-1E+06-2D1,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2D2,45759-1E+06-2D2,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2D3,45759-1E+06-2D3,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2D4,45759-1E+06-2D4,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2D5,45759-1E+06-2D5,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,2D6,45759-1E+06-2D6,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,3A1,45759-1E+06-3A1,0,0,0,0,0,
2025-04-12,2,Vcoralliilyticus,1000000,3A2,45759-1E+06-3A2,0,0,0,0,0,
